Brand,AnnualDemand,AvgPurchasePrice,HoldingCost,OrderingCost,EOQ,OrdersPerYear,TotalOrderingCost,TotalHoldingCost,TotalInventoryCost
8781,1840,10.32,2.064,150,517,4,600,533.544,1133.5439999999999
35472,1836,5.88,1.176,150,684,3,450,402.19199999999995,852.192
5390,1823,0.77,0.15400000000000003,150,1884,1,150,145.068,295.068
8475,1822,1.23,0.246,150,1491,2,300,183.393,483.39300000000003
32648,1820,5.3,1.06,150,718,3,450,380.54,830.54
4246,1820,4.22,0.844,150,804,3,450,339.288,789.288
6595,1819,4.48,0.8960000000000001,150,780,3,450,349.44000000000005,799.44
3728,1812,18.93,3.786,150,379,5,750,717.447,1467.4470000000001
32908,1804,6.55,1.31,150,643,3,450,421.165,871.165
2037,1795,0.73,0.146,150,1921,1,150,140.233,290.233
1261,1789,0.74,0.148,150,1904,1,150,140.896,290.89599999999996
811,1789,19.84,3.968,150,368,5,750,730.112,1480.112
19848,1789,5.33,1.066,150,710,3,450,378.43,828.4300000000001
1789,1787,17.16,3.4320000000000004,150,395,5,750,677.82,1427.8200000000002
3085,1783,4.72,0.944,150,753,3,450,355.416,805.4159999999999
5490,1780,0.76,0.15200000000000002,150,1874,1,150,142.42400000000004,292.42400000000004
41714,1772,3.22,0.6440000000000001,150,909,2,300,292.69800000000004,592.6980000000001
4153,1772,9.59,1.9180000000000001,150,526,4,600,504.434,1104.434
12771,1771,8.44,1.688,150,561,4,600,473.484,1073.484
6269,1766,5.37,1.074,150,702,3,450,376.97400000000005,826.974
6692,1763,6.68,1.336,150,629,3,450,420.172,870.172
4264,1754,11.53,2.306,150,478,4,600,551.134,1151.134
1355,1754,2.59,0.518,150,1008,2,300,261.072,561.072
26399,1746,3.94,0.788,150,815,3,450,321.11,771.11
1389,1745,2.18,0.43600000000000005,150,1096,2,300,238.92800000000003,538.928
4221,1745,12.94,2.588,150,450,4,600,582.3000000000001,1182.3000000000002
1384,1744,18.93,3.786,150,372,5,750,704.196,1454.196
15527,1744,6.57,1.314,150,631,3,450,414.567,864.567
28947,1737,5.91,1.1820000000000002,150,664,3,450,392.42400000000004,842.424
23143,1731,4.65,0.9300000000000002,150,747,3,450,347.3550000000001,797.355
3687,1720,3.84,0.768,150,820,3,450,314.88,764.88
2164,1718,12.14,2.4280000000000004,150,461,4,600,559.6540000000001,1159.654
3282,1717,0.79,0.15800000000000003,150,1806,1,150,142.67400000000004,292.67400000000004
11825,1717,4.66,0.932,150,743,3,450,346.238,796.238
8815,1713,6.07,1.2140000000000002,150,651,3,450,395.15700000000004,845.157
4198,1706,17.51,3.5020000000000007,150,382,5,750,668.8820000000002,1418.882
3997,1702,14.05,2.8100000000000005,150,426,4,600,598.5300000000001,1198.5300000000002
3344,1700,14.49,2.898,150,420,5,750,608.58,1358.58
6270,1697,0.77,0.15400000000000003,150,1818,1,150,139.98600000000002,289.986
3137,1697,0.76,0.15200000000000002,150,1830,1,150,139.08,289.08000000000004
21985,1681,6.59,1.318,150,619,3,450,407.921,857.921
3485,1680,15.03,3.0060000000000002,150,409,5,750,614.7270000000001,1364.727
3798,1675,19.83,3.9659999999999997,150,356,5,750,705.948,1455.9479999999999
4066,1672,12.85,2.5700000000000003,150,442,4,600,567.97,1167.97
3840,1670,14.39,2.878,150,417,5,750,600.063,1350.063
24325,1662,10.88,2.176,150,479,4,600,521.152,1121.152
3982,1657,14.38,2.8760000000000003,150,416,4,600,598.2080000000001,1198.208
5656,1653,1.16,0.23199999999999998,150,1462,2,300,169.59199999999998,469.592
1737,1648,34.3,6.859999999999999,150,268,7,1050,919.2399999999999,1969.2399999999998
3511,1646,7.24,1.4480000000000002,150,584,3,450,422.81600000000003,872.816
8788,1644,1.53,0.30600000000000005,150,1270,2,300,194.31000000000003,494.31000000000006
8498,1644,5.84,1.168,150,650,3,450,379.59999999999997,829.5999999999999
3776,1643,18.56,3.7119999999999997,150,364,5,750,675.584,1425.5839999999998
3295,1642,7.93,1.586,150,557,3,450,441.701,891.701
7535,1632,4.44,0.8880000000000001,150,743,3,450,329.89200000000005,779.892
5891,1632,11.84,2.368,150,455,4,600,538.72,1138.72
19357,1629,3.92,0.784,150,790,3,450,309.68,759.6800000000001
44712,1629,13.79,2.758,150,421,4,600,580.559,1180.559
2100,1629,7.24,1.4480000000000002,150,581,3,450,420.64400000000006,870.644
2117,1624,5.88,1.176,150,644,3,450,378.67199999999997,828.672
6725,1623,8.44,1.688,150,537,4,600,453.228,1053.228
14622,1620,8.66,1.7320000000000002,150,530,4,600,458.9800000000001,1058.98
40545,1613,9.93,1.986,150,494,4,600,490.542,1090.542
3847,1612,2.81,0.562,150,928,2,300,260.76800000000003,560.768
43872,1604,12.66,2.532,150,436,4,600,551.976,1151.976
44334,1600,7.84,1.568,150,553,3,450,433.552,883.552
