Brand,EndingStock,AvgPrice,InventoryValue,TotalSold,StockToSales,MovementClass
377,406,37.99,15423.94,12.0,33.833333333333336,Slow Moving
381,880,19.99,17591.199999999997,130.0,6.769230769230769,Slow Moving
382,19,10.49,199.31,0.0,inf,Dead Stock
384,260,69.99,18197.399999999998,50.0,5.2,Slow Moving
385,1,447.99,447.99,0.0,inf,Dead Stock
388,1604,14.49,23241.96,739.0,2.1705006765899864,Slow Moving
397,1,7.49,7.49,0.0,inf,Dead Stock
398,11,7.49,82.39,0.0,inf,Dead Stock
401,3,7.49,22.47,6.0,0.5,Fast Moving
407,1,49.99,49.99,1.0,1.0,Normal
408,2618,19.99,52333.81999999999,806.0,3.2481389578163773,Slow Moving
415,1558,21.99,34260.42,866.0,1.7990762124711317,Normal
418,5,49.99,249.95000000000002,0.0,inf,Dead Stock
419,342,19.99,6836.579999999999,242.0,1.4132231404958677,Normal
423,6,4696.99,28181.94,0.0,inf,Dead Stock
425,20,799.99,15999.8,0.0,inf,Dead Stock
426,1080,7.99,8629.2,401.0,2.693266832917706,Slow Moving
427,12,8.99,107.88,1.0,12.0,Slow Moving
428,129,9.49,1224.21,134.0,0.9626865671641791,Normal
435,1124,15.99,17972.760000000002,192.0,5.854166666666667,Slow Moving
438,1059,17.99,19051.41,471.0,2.248407643312102,Slow Moving
441,1,49.99,49.99,27.0,0.037037037037037035,Fast Moving
443,1218,34.99,42617.82,419.0,2.9069212410501195,Slow Moving
445,14,8.79,123.05999999999999,0.0,inf,Dead Stock
446,289,14.990000000000002,4332.110000000001,152.0,1.9013157894736843,Normal
450,406,24.99,10145.939999999999,158.0,2.569620253164557,Slow Moving
451,25,4.99,124.75,41.0,0.6097560975609756,Normal
453,82,29.99,2459.18,33.0,2.484848484848485,Slow Moving
455,5,27.99,139.95,1.0,5.0,Slow Moving
457,10,8.99,89.9,5.0,2.0,Normal
463,601,33.99,20427.99,165.0,3.6424242424242426,Slow Moving
473,35,33.99,1189.65,28.0,1.25,Normal
482,2716,21.99,59724.84,2191.0,1.2396166134185302,Normal
485,296,12.99,3845.04,200.0,1.48,Normal
495,16,15.99,255.84,0.0,inf,Dead Stock
497,2237,19.99,44717.63,2339.0,0.9563916203505771,Normal
500,10,3049.99,30499.899999999998,1.0,10.0,Slow Moving
505,109,29.99,3268.91,1.0,109.0,Slow Moving
506,13,24.99,324.87,0.0,inf,Dead Stock
508,2829,15.49,43821.21,3625.0,0.7804137931034483,Normal
510,8,9.99,79.92,0.0,inf,Dead Stock
513,525,29.989999999999995,15744.749999999998,162.0,3.240740740740741,Slow Moving
515,246,34.99,8607.54,86.0,2.86046511627907,Slow Moving
516,42,10.99,461.58,15.0,2.8,Slow Moving
518,12,17.99,215.88,0.0,inf,Dead Stock
523,905,9.99,9040.95,862.0,1.0498839907192576,Normal
525,236,39.99,9437.640000000001,43.0,5.488372093023256,Slow Moving
529,51,7.29,371.79,31.0,1.6451612903225807,Normal
533,261,28.99,7566.389999999999,0.0,inf,Dead Stock
536,64,12.99,831.36,9.0,7.111111111111111,Slow Moving
538,1612,13.99,22551.88,1314.0,1.2267884322678844,Normal
539,324,5.79,1875.96,513.0,0.631578947368421,Normal
540,237,0.99,234.63,1080.0,0.21944444444444444,Fast Moving
541,48,7.49,359.52,97.0,0.4948453608247423,Fast Moving
543,38,34.99,1329.6200000000001,8.0,4.75,Slow Moving
546,7,7.49,52.43,0.0,inf,Dead Stock
547,48,12.99,623.52,40.0,1.2,Normal
548,18,8.99,161.82,21.0,0.8571428571428571,Normal
549,65,8.99,584.35,10.0,6.5,Slow Moving
550,12,8.99,107.88,0.0,inf,Dead Stock
551,55,10.99,604.45,7.0,7.857142857142857,Slow Moving
555,148,32.99,4882.52,39.0,3.7948717948717947,Slow Moving
557,9,6.29,56.61,1.0,9.0,Slow Moving
561,288,28.99,8349.119999999999,0.0,inf,Dead Stock
563,81,28.990000000000002,2348.19,0.0,inf,Dead Stock
564,78,8.99,701.22,54.0,1.4444444444444444,Normal
565,89,22.99,2046.11,13.0,6.846153846153846,Slow Moving
567,1194,28.99,34614.06,750.0,1.592,Normal
573,21,9.99,209.79,0.0,inf,Dead Stock
576,16,8.99,143.84,3.0,5.333333333333333,Slow Moving
583,4,16.99,67.96,0.0,inf,Dead Stock
585,108,29.99,3238.9199999999996,29.0,3.7241379310344827,Slow Moving
586,10,16.99,169.89999999999998,10.0,1.0,Normal
587,114,16.99,1936.86,6.0,19.0,Slow Moving
588,3,114.99,344.96999999999997,0.0,inf,Dead Stock
589,30,10.99,329.7,5.0,6.0,Slow Moving
590,13,5.99,77.87,1.0,13.0,Slow Moving
592,122,189.99,23178.780000000002,12.0,10.166666666666666,Slow Moving
596,6,21.99,131.94,0.0,inf,Dead Stock
597,1490,27.99,41705.1,826.0,1.8038740920096852,Normal
598,194,22.99,4460.0599999999995,102.0,1.9019607843137254,Normal
599,361,22.99,8299.39,280.0,1.2892857142857144,Normal
600,113,7.29,823.77,34.0,3.323529411764706,Slow Moving
601,102,6.99,712.98,164.0,0.6219512195121951,Normal
602,260,7.289999999999999,1895.3999999999999,84.0,3.0952380952380953,Slow Moving
603,30,6.99,209.70000000000002,2.0,15.0,Slow Moving
604,110,6.99,768.9,41.0,2.682926829268293,Slow Moving
605,216,14.990000000000002,3237.8400000000006,13.0,16.615384615384617,Slow Moving
607,184,8.99,1654.16,22.0,8.363636363636363,Slow Moving
610,192,20.99,4030.08,1.0,192.0,Slow Moving
613,3,25.99,77.97,3.0,1.0,Normal
626,8,8.79,70.32,0.0,inf,Dead Stock
630,37,14.99,554.63,0.0,inf,Dead Stock
634,83,13.99,1161.17,16.0,5.1875,Slow Moving
635,6,9.99,59.94,22.0,0.2727272727272727,Fast Moving
636,30,9.49,284.7,5.0,6.0,Slow Moving
640,14,9.99,139.86,15.0,0.9333333333333333,Normal
644,113,27.990000000000002,3162.8700000000003,126.0,0.8968253968253969,Normal
649,251,39.99,10037.49,48.0,5.229166666666667,Slow Moving
650,12,6.99,83.88,1.0,12.0,Slow Moving
652,124,21.99,2726.7599999999998,19.0,6.526315789473684,Slow Moving
653,551,37.99,20932.49,253.0,2.177865612648221,Slow Moving
656,4,49.99,199.96,0.0,inf,Dead Stock
657,12,7.99,95.88,0.0,inf,Dead Stock
658,168,2.99,502.32000000000005,202.0,0.8316831683168316,Normal
659,215,33.99,7307.85,79.0,2.721518987341772,Slow Moving
661,1193,14.99,17883.07,638.0,1.8699059561128526,Normal
664,259,73.99,19163.41,44.0,5.886363636363637,Slow Moving
665,30,6.99,209.70000000000002,0.0,inf,Dead Stock
669,161,39.99,6438.39,45.0,3.577777777777778,Slow Moving
675,79,99.99,7899.21,11.0,7.181818181818182,Slow Moving
676,1071,9.99,10699.29,811.0,1.3205918618988903,Normal
