Brand,Revenue,Quantity,Transactions,Revenue %,Cumulative %,Category
13278,5488.17,183,49,0.016560873438239154,78.44773926032593,B
14054,5483.9,610,337,0.016547988463906857,78.46428724878984,B
38681,5470.78,322,120,0.01650839809780856,78.48079564688766,B
6933,5469.91,509,299,0.016505772822007835,78.49730141970967,B
44717,5468.759999999999,324,189,0.01650230262985745,78.51380372233953,B
3981,5467.4400000000005,456,244,0.016498319452780488,78.53030204179231,B
26821,5446.58,542,325,0.016435373184730907,78.54673741497704,B
3959,5446.139999999999,186,164,0.016434045459038583,78.56317146043608,B
1781,5444.0,100,43,0.01642758788408048,78.57959904832016,B
25373,5428.82,418,157,0.016381781347695402,78.59598082966785,B
28548,5426.64,336,213,0.016375203070401634,78.61235603273825,B
25711,5420.63,337,91,0.016357067544467883,78.62871310028271,B
21277,5417.29,271,127,0.016346988899439814,78.64506008918215,B
25934,5413.27,673,337,0.016334858314705426,78.66139494749686,B
3921,5412.969999999999,203,178,0.016333953047187932,78.67772890054405,B
10579,5410.16,484,271,0.016325473708107427,78.69405437425216,B
2254,5403.25,375,269,0.016304622379621207,78.71035899663178,B
159,5402.6900000000005,131,107,0.01630293254692189,78.7266619291787,B
2964,5399.76,24,3,0.01629409110083439,78.74295602027954,B
23712,5388.68,532,331,0.016260656553855033,78.75921667683339,B
46985,5385.66,234,134,0.016251543527512284,78.7754682203609,B
4270,5380.219999999999,278,190,0.016235128009861766,78.79170334837077,B
16394,5379.009999999999,299,171,0.016231476764207886,78.80793482513498,B
2521,5374.429999999999,57,51,0.01621765634677418,78.82415248148175,B
4320,5373.97,103,78,0.016216268269914028,78.84036874975166,B
39708,5362.02,598,304,0.01618020844713395,78.8565489581988,B
3425,5329.73,227,205,0.016082771486667934,78.87263172968547,B
3457,5323.63,137,116,0.01606436438047894,78.88869609406595,B
8606,5315.31,5369,810,0.016039258294660512,78.9047353523606,B
8448,5304.08,492,414,0.016005371113922407,78.92074072347452,B
23076,5302.21,379,167,0.015999728279730042,78.93674045175425,B
38178,5293.26,874,411,0.01597272113212488,78.95271317288638,B
419,5287.58,242,152,0.01595558140046037,78.96866875428684,B
2054,5278.8,120,103,0.015929087237781785,78.98459784152462,B
4258,5270.03,397,300,0.015902623250687115,79.0005004647753,B
22583,5269.37,263,112,0.015900631662148633,79.01640109643745,B
8103,5263.83,5317,1027,0.015883914388658955,79.0322850108261,B
8420,5257.77,123,78,0.015865627984805626,79.04815063881091,B
4178,5244.75,525,345,0.01582633937454649,79.06397697818545,B
6896,5236.139999999999,274,148,0.01580035819679448,79.07977733638225,B
13258,5223.84,416,294,0.015763242228577327,79.09554057861082,B
1515,5221.36,364,187,0.015755758683766063,79.11129633729459,B
5747,5220.4,360,271,0.015752861827710088,79.1270491991223,B
1389,5217.55,1745,688,0.01574426178629392,79.14279346090859,B
8442,5216.4,360,307,0.015740791594143537,79.15853425250273,B
19934,5209.26,474,262,0.015719246227227236,79.17425349872995,B
3919,5208.06,444,367,0.015715625157157274,79.18996912388711,B
33037,5206.509999999999,249,168,0.01571094794165023,79.20568007182877,B
22079,5204.79,521,301,0.015705757741216613,79.22138582956998,B
4278,5203.66,434,353,0.01570234790023406,79.23708817747021,B
2246,5203.259999999999,274,231,0.015701140876877403,79.25278931834708,B
31356,5199.349999999999,65,21,0.015689342223566098,79.26847866057065,B
24846,5198.28,272,155,0.015686113436087043,79.28416477400674,B
43788,5189.04,96,64,0.015658231196548304,79.2998230052033,B
8658,5188.56,144,129,0.015656782768520318,79.31547978797181,B
11499,5184.15,185,75,0.01564347533601319,79.33112326330783,B
19302,5179.68,432,224,0.015629986850002567,79.34675325015783,B
44854,5174.1,90,47,0.015613148874177226,79.36236639903201,B
31200,5173.3,270,150,0.015610734827463914,79.37797713385947,B
13723,5173.099999999999,290,207,0.015610131315785584,79.39358726517526,B
20064,5169.89,11,1,0.015600444953348426,79.4091877101286,B
