Brand,AvgDailyDemand,StdDailyDemand,TotalDemand,AvgLeadTime,StdLeadTime,SafetyStock,ReorderPoint
482,37.775862068965516,32.9587957024537,2191,7.4286321155480035,2.254005283834677,204,485
3050,36.416666666666664,26.176902528540314,2185,7.535643070787637,2.196975723310365,177,452
4269,36.03333333333333,30.22680742330638,2162,7.479918137631108,2.401044295458185,197,467
8066,37.224137931034484,38.099151854743646,2159,7.37180106228875,2.387352287619173,225,499
43223,35.95,34.276752511168034,2157,7.267008387698043,2.296851416765751,204,466
6081,35.88333333333333,42.38167643186312,2153,7.458410351201478,2.022244001516739,225,493
3356,35.71666666666667,30.509288203212254,2143,7.787408759124087,2.0878615609398796,187,465
42764,36.23728813559322,40.49280011908921,2138,7.576099210822999,2.1604070200139867,225,499
5342,35.6,32.58584490443042,2136,7.530321046373365,2.121383948092858,193,461
5708,47.31111111111111,57.36875227311239,2129,7.43940990516333,2.121759397896003,307,659
5401,35.483333333333334,29.610174423304752,2129,7.911877394636015,2.1346004135289864,186,466
35916,52.45,39.10141318188529,2098,7.370398773006135,2.2314464664875397,261,647
3859,34.833333333333336,29.819324110306052,2090,7.5990654205607475,2.180146635034694,185,449
8202,34.71666666666667,32.30841400965403,2083,7.561542034370645,2.181803728455168,193,455
23095,34.65,30.395040295684286,2079,7.572176054170514,2.100120562696909,183,445
27461,35.758620689655174,35.32173444750293,2074,7.590671316477768,2.282170828877999,210,481
40425,37.017857142857146,46.616224671217246,2073,7.738414634146341,2.0922559613874734,249,536
12220,34.25,21.530919824163952,2055,7.964463397299218,2.106385193771836,156,428
3162,34.15,31.716340759716292,2049,7.472049689440993,2.202447819476214,189,445
